"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"04.01.2021 21:15 - 04.01.2021 21:30","54513","61114"
"04.01.2021 21:30 - 04.01.2021 21:45","53909","59949"
"04.01.2021 21:45 - 04.01.2021 22:00","52959","59026"
"04.01.2021 22:00 - 04.01.2021 22:15","51919","57997"
"04.01.2021 22:15 - 04.01.2021 22:30","51087","57251"
"04.01.2021 22:30 - 04.01.2021 22:45","50345","56620"
"04.01.2021 22:45 - 04.01.2021 23:00","49886","55964"
"04.01.2021 23:00 - 04.01.2021 23:15","46496","54181"
"04.01.2021 23:15 - 04.01.2021 23:30","45804","53126"
"04.01.2021 23:30 - 04.01.2021 23:45","45453","52533"
"04.01.2021 23:45 - 05.01.2021 00:00","44930","52188"
"05.01.2021 00:00 - 05.01.2021 00:15","44292","51992"
"05.01.2021 00:15 - 05.01.2021 00:30","43746","51728"
"05.01.2021 00:30 - 05.01.2021 00:45","43364","51352"
"05.01.2021 00:45 - 05.01.2021 01:00","43272","50978"
"05.01.2021 01:00 - 05.01.2021 01:15","43327","50648"
"05.01.2021 01:15 - 05.01.2021 01:30","43287","50456"
"05.01.2021 01:30 - 05.01.2021 01:45","43341","50187"
"05.01.2021 01:45 - 05.01.2021 02:00","43451","50410"
"05.01.2021 02:00 - 05.01.2021 02:15","43416","50630"
"05.01.2021 02:15 - 05.01.2021 02:30","43979","50636"
"05.01.2021 02:30 - 05.01.2021 02:45","43954","50745"
"05.01.2021 02:45 - 05.01.2021 03:00","44056","50833"
"05.01.2021 03:00 - 05.01.2021 03:15","44401","51148"
"05.01.2021 03:15 - 05.01.2021 03:30","44789","51246"
"05.01.2021 03:30 - 05.01.2021 03:45","45025","51493"
"05.01.2021 03:45 - 05.01.2021 04:00","45501","51676"
"05.01.2021 04:00 - 05.01.2021 04:15","46193","53097"
"05.01.2021 04:15 - 05.01.2021 04:30","46704","53455"
"05.01.2021 04:30 - 05.01.2021 04:45","47343","54035"
"05.01.2021 04:45 - 05.01.2021 05:00","48211","55254"
"05.01.2021 05:00 - 05.01.2021 05:15","50197","57520"
"05.01.2021 05:15 - 05.01.2021 05:30","51806","58915"
"05.01.2021 05:30 - 05.01.2021 05:45","52943","59924"
"05.01.2021 05:45 - 05.01.2021 06:00","54274","61047"
"05.01.2021 06:00 - 05.01.2021 06:15","55760","63021"
"05.01.2021 06:15 - 05.01.2021 06:30","55233","63633"
"05.01.2021 06:30 - 05.01.2021 06:45","56169","64614"
"05.01.2021 06:45 - 05.01.2021 07:00","56969","65782"
"05.01.2021 07:00 - 05.01.2021 07:15","58094","66657"
"05.01.2021 07:15 - 05.01.2021 07:30","58437","67270"
"05.01.2021 07:30 - 05.01.2021 07:45","58523","67629"
"05.01.2021 07:45 - 05.01.2021 08:00","59096","67963"
"05.01.2021 08:00 - 05.01.2021 08:15","59108","68505"
"05.01.2021 08:15 - 05.01.2021 08:30","59826","68969"
"05.01.2021 08:30 - 05.01.2021 08:45","60540","69317"
"05.01.2021 08:45 - 05.01.2021 09:00","60988","69426"
